##	##
simulation time	timestep	input EIR	simulated EIR	human infectiousness	N_v0(gambiae_ss)	N_v(gambiae_ss)	O_v(gambiae_ss)	S_v(gambiae_ss)	immunity h	immunity Y	new infections	num transmitting humans	res avail(gambiae_ss)	res req(gambiae_ss)
683	nan	3.68641	-nan	0.0335511	2461.14	19181.1	591.239	234.817	100.94	3.22994e+06	66	53	4290.15	nan
684	nan	4.19712	-nan	0.0348852	2625.22	21021.1	668.939	269.171	101.37	3.2368e+06	83	53	4563.35	nan
685	nan	4.72026	-nan	0.0357377	2744.85	22665.6	756.752	305.745	101.7	3.243e+06	79	53	4757.02	nan
686	nan	5.23073	-nan	0.0360112	2811.02	24015.2	845.831	346.034	102.11	3.24922e+06	106	52	4856.82	nan
687	nan	5.69917	-nan	0.0366829	2819.04	24983.8	927.797	390.308	102.47	3.25594e+06	106	54	4855.99	nan
688	nan	6.09483	-nan	0.0371721	2769.19	25513	1003.47	433.533	102.65	3.26052e+06	127	53	4756.35	nan
689	nan	6.38941	-nan	0.0381538	2666.64	25575.3	1072.02	473.055	103.16	3.26653e+06	143	53	4567.88	nan
690	nan	6.56097	-nan	0.0382171	2520.54	25179	1118.32	509.916	103.39	3.27378e+06	129	53	4307.01	nan
691	nan	6.59726	-nan	0.0383305	2342.55	24365.7	1141.53	540.708	103.61	3.28093e+06	99	53	3994.08	nan
692	nan	6.49753	-nan	0.0386004	2145.21	23203.1	1143.57	559.824	104	3.28884e+06	136	53	3650.59	nan
693	nan	6.27253	-nan	0.0388792	1940.43	21776.1	1127.32	567.749	104.2	3.29633e+06	105	53	3296.66	nan
694	nan	5.94255	-nan	0.0394553	1738.38	20174.1	1095.26	565.624	104.52	3.30318e+06	99	53	2949.3	nan
695	nan	5.53425	-nan	0.0396188	1546.89	18484.5	1051.12	554.752	104.77	3.30995e+06	93	53	2621.44	nan
696	nan	5.07678	-nan	0.0391319	1371.28	16784.8	994.102	536.78	104.93	3.31611e+06	97	54	2321.76	nan
697	nan	4.59828	-nan	0.0390891	1214.62	15136.7	925.564	512.753	104.88	3.3231e+06	89	53	2055.14	nan
698	nan	4.12316	-nan	0.0389497	1078.09	13589.5	853.263	482.313	102.56	3.32207e+06	87	52	1823.31	nan
699	nan	3.67048	-nan	0.0389561	961.54	12183.9	780.34	447.877	102.85	3.32844e+06	81	52	1625.78	nan
700	nan	3.25351	-nan	0.038954	863.891	10918.9	708.108	411.792	103.09	3.3347e+06	64	52	1460.61	nan
701	nan	2.88009	-nan	0.0384711	783.576	9806.36	639.737	375.274	103.28	3.34148e+06	48	52	1325.03	nan
702	nan	2.55359	-nan	0.0384078	718.838	8848.83	575.577	339.939	103.54	3.34823e+06	56	53	1216.03	nan
703	nan	2.27399	-nan	0.0386261	667.974	8040.02	518.26	306.616	103.66	3.35474e+06	38	53	1130.6	nan
704	nan	2.03906	-nan	0.0389193	629.334	7370.53	468.726	275.797	103.87	3.36134e+06	46	54	1066	nan
705	nan	1.84527	-nan	0.0390633	601.49	6829.15	426.576	248.619	103.99	3.36769e+06	33	54	1019.79	nan
706	nan	1.68857	-nan	0.0390489	583.216	6404.32	390.829	225.287	104.16	3.37396e+06	36	54	989.913	nan
707	nan	1.56482	-nan	0.0389622	573.476	6085.1	360.747	205.473	104.35	3.38029e+06	34	54	974.636	nan
708	nan	1.47021	-nan	0.0384701	571.385	5860.78	335.765	188.689	104.54	3.38615e+06	30	54	972.468	nan
709	nan	1.40132	-nan	0.0383522	576.156	5721.97	315.084	174.634	104.71	3.39237e+06	29	54	982.084	nan
710	nan	1.35523	-nan	0.0378128	587.041	5660.05	299.106	162.94	104.85	3.39826e+06	21	54	1002.21	nan
711	nan	1.32947	-nan	0.0375721	603.266	5666.95	286.862	153.472	105.01	3.40376e+06	22	54	1031.5	nan
712	nan	1.32195	-nan	0.0373616	623.958	5734.33	278.648	146.169	105.28	3.40934e+06	36	54	1068.43	nan
713	nan	1.33082	-nan	0.0370144	648.089	5853.7	274.052	140.748	105.43	3.41502e+06	26	53	1111.18	nan
714	nan	1.35436	-nan	0.0367998	674.429	6015.55	272.407	137.29	105.66	3.42096e+06	33	52	1157.56	nan
715	nan	1.39079	-nan	0.0363925	701.531	6209.42	273.447	135.509	105.78	3.42638e+06	14	52	1204.98	nan
716	nan	1.43812	-nan	0.0363067	727.742	6423.04	276.455	135.161	106.01	3.43148e+06	34	53	1250.55	nan
717	nan	1.49401	-nan	0.0365001	751.279	6642.66	281.729	136.005	106.27	3.43634e+06	34	54	1291.11	nan
718	nan	1.55564	-nan	0.0365601	770.335	6853.68	289.118	137.859	106.48	3.44098e+06	28	54	1323.54	nan
719	nan	1.61968	-nan	0.0366714	783.234	7040.2	297.514	140.852	106.67	3.44557e+06	27	54	1344.97	nan
720	nan	1.68228	-nan	0.0363933	788.606	7187.41	306.038	144.717	106.91	3.44995e+06	35	54	1353.1	nan
721	nan	1.73927	-nan	0.0363433	785.544	7282.18	313.212	148.965	107.16	3.45404e+06	48	54	1346.49	nan
722	nan	1.78636	-nan	0.0362918	773.73	7314.2	319.091	152.999	107.31	3.45832e+06	22	54	1324.72	nan
723	nan	1.81955	-nan	0.0364196	753.477	7277.11	323.245	156.349	107.52	3.46237e+06	27	54	1288.45	nan
724	nan	1.83547	-nan	0.0364611	725.702	7169.16	325.548	158.989	107.72	3.46648e+06	34	54	1239.4	nan
725	nan	1.83182	-nan	0.0360637	691.817	6993.34	325.123	160.762	107.97	3.47038e+06	44	54	1180.08	nan
726	nan	1.80763	-nan	0.0358655	653.564	6756.75	320.9	161.506	105.56	3.47245e+06	40	53	1113.54	nan
727	nan	1.76343	-nan	0.0355966	612.821	6476	313.73	160.823	105.72	3.47663e+06	19	53	1043.04	nan
728	nan	1.70117	-nan	0.0354864	571.428	6155.17	303.749	158.23	105.86	3.48134e+06	28	53	971.704	nan
729	nan	1.62401	-nan	0.0359101	531.032	5810.4	292.093	154.078	106.05	3.48639e+06	25	53	902.346	nan
730	nan	1.53596	-nan	0.036424	493.005	5457.36	280.135	148.761	106.28	3.49103e+06	31	53	837.284	nan
731	nan	1.44137	-nan	0.0371547	458.454	5109.54	268.073	142.902	106.55	3.49599e+06	32	53	778.301	nan
732	nan	1.34459	-nan	0.0374688	428.122	4777.8	256.107	136.937	106.71	3.50105e+06	29	54	726.671	nan
733	nan	1.24957	-nan	0.0375522	402.526	4471.62	243.61	130.976	106.84	3.50554e+06	22	54	683.241	nan
734	nan	1.15964	-nan	0.0376069	381.991	4198.5	230.738	124.966	106.94	3.5104e+06	15	54	648.55	nan
735	nan	1.0774	-nan	0.0374398	366.733	3964.04	218.03	118.682	107.16	3.51548e+06	36	54	622.95	nan
736	nan	1.00476	-nan	0.0377994	356.921	3772.56	205.937	112.304	107.26	3.52004e+06	17	54	606.736	nan
737	nan	0.942985	-nan	0.0381128	352.75	3627.45	195.576	106.055	107.42	3.52447e+06	18	54	600.257	nan
738	nan	0.892906	-nan	0.0378336	354.498	3531.73	186.922	100.309	107.5	3.52918e+06	11	54	604.023	nan
739	nan	0.855046	-nan	0.0373087	362.582	3488.53	179.441	95.4664	107.7	3.53372e+06	24	54	618.796	nan
740	nan	0.829804	-nan	0.037153	377.604	3501.81	173.372	91.3765	107.86	3.53822e+06	20	54	645.671	nan
741	nan	0.817617	-nan	0.0368683	400.391	3576.54	169.537	87.865	107.88	3.54228e+06	7	53	686.159	nan
742	nan	0.819101	-nan	0.0367074	432.038	3719.23	168.106	85.1945	108.04	3.54609e+06	17	53	742.245	nan
743	nan	0.835179	-nan	0.0349727	473.927	3938.36	169.282	83.6733	108.15	3.54546e+06	22	52	816.435	nan
744	nan	0.867198	-nan	0.0347218	527.741	4244.76	172.694	83.3872	108.36	3.54885e+06	21	52	911.769	nan
745	nan	0.917032	-nan	0.0346585	595.44	4651.43	177.841	84.375	108.43	3.55198e+06	8	52	1031.77	nan
746	nan	0.987176	-nan	0.0344707	679.19	5173.86	187.349	86.2796	108.64	3.55502e+06	24	52	1180.29	nan
747	nan	1.08081	-nan	0.0339672	781.221	5829.41	201.281	89.462	108.81	3.55837e+06	19	52	1361.25	nan
748	nan	1.20184	-nan	0.0338068	903.59	6636.12	219.552	94.9029	109.13	3.56171e+06	36	52	1578.18	nan
749	nan	1.35484	-nan	0.0342343	1047.82	7611.86	243.694	102.479	109.37	3.56493e+06	28	53	1833.52	nan
750	nan	1.54493	-nan	0.0342103	1214.46	8770.91	275.449	112.39	109.56	3.56886e+06	25	53	2127.83	nan
751	nan	1.77741	-nan	0.0343364	1402.49	10120.9	314.156	125.571	109.76	3.57351e+06	27	53	2458.78	nan
752	nan	2.05728	-nan	0.0337308	1608.79	11659	361.265	142.432	109.92	3.57021e+06	34	52	2820.2	nan
753	nan	2.38838	-nan	0.0338773	1827.66	13367.8	417.719	162.856	110.24	3.5735e+06	44	52	3201.38	nan
754	nan	2.77233	-nan	0.0340831	2050.68	15210.2	475.799	187.958	107.7	3.57539e+06	43	51	3586.89	nan
755	nan	3.20725	-nan	0.0342174	2266.88	17146.3	542.031	216.466	108.08	3.57886e+06	78	51	3957.2	nan
756	nan	3.68641	-nan	0.0342628	2463.57	19073.1	614.901	246.434	108.44	3.58244e+06	62	51	4290.15	nan
757	nan	4.19712	-nan	0.0352172	2627.55	20901.4	692.97	280.272	108.82	3.58578e+06	74	52	4563.35	nan
758	nan	4.72026	-nan	0.0364131	2746.81	22533.5	779.828	317.108	109.15	3.58903e+06	72	52	4757.02	nan
759	nan	5.23073	-nan	0.0366443	2812.88	23872.2	871.115	357.176	109.6	3.59231e+06	103	52	4856.82	nan
760	nan	5.69917	-nan	0.0368185	2820.75	24832.6	954.023	401.422	110.07	3.59603e+06	101	53	4855.99	nan
761	nan	6.09483	-nan	0.0370185	2770.71	25355.5	1024.41	445.724	110.42	3.59999e+06	103	53	4756.35	nan
762	nan	6.38941	-nan	0.0379862	2667.96	25414	1081.19	484.895	110.81	3.60425e+06	140	53	4567.88	nan
763	nan	6.56097	-nan	0.0384812	2521.67	25016.9	1127.07	517.426	111.13	3.60859e+06	105	53	4307.01	nan
764	nan	6.59726	-nan	0.0387947	2343.5	24205.7	1154.4	543.913	111.43	3.61325e+06	145	53	3994.08	nan
765	nan	6.49753	-nan	0.0394408	2146	23047.8	1161.29	563.897	111.71	3.61895e+06	128	54	3650.59	nan
766	nan	6.27253	-nan	0.03999	1941.09	21627.2	1151	574.015	111.98	3.62525e+06	111	54	3296.66	nan
767	nan	5.94255	-nan	0.0411581	1738.93	20033.8	1124.95	574.527	112.28	3.63171e+06	94	54	2949.3	nan
768	nan	5.53425	-nan	0.0408175	1547.34	18354.2	1088.19	566.636	112.44	3.63787e+06	103	53	2621.44	nan
769	nan	5.07678	-nan	0.0410509	1371.66	16664.8	1037.19	551.905	112.68	3.64476e+06	90	53	2321.76	nan
770	nan	4.59828	-nan	0.0411105	1214.94	15028.2	969.304	531.623	112.86	3.65079e+06	84	53	2055.14	nan
771	nan	4.12316	-nan	0.0408166	1078.37	13491	895.455	503.311	113.13	3.65777e+06	77	53	1823.31	nan
772	nan	3.67048	-nan	0.0402318	961.78	12084	818.288	468.345	113.39	3.66599e+06	69	53	1625.78	nan
773	nan	3.25351	-nan	0.0401951	864.103	10825.6	741	431.114	113.6	3.67496e+06	61	53	1460.61	nan
774	nan	2.88009	-nan	0.0405785	783.781	9721.95	668.969	392.623	113.78	3.68329e+06	57	53	1325.03	nan
775	nan	2.55359	-nan	0.040752	719.058	8772.36	604.444	354.967	113.94	3.6918e+06	49	53	1216.03	nan
776	nan	2.27399	-nan	0.040669	668.184	7970.56	546.632	320.475	114.2	3.70044e+06	54	54	1130.6	nan
777	nan	2.03906	-nan	0.0409625	629.541	7306.69	495.195	289.63	114.38	3.70918e+06	44	54	1066	nan
778	nan	1.84527	-nan	0.041026	601.699	6770.13	451.066	261.997	114.44	3.71785e+06	40	54	1019.79	nan
779	nan	1.68857	-nan	0.040885	583.433	6349.3	413.304	237.715	114.62	3.72677e+06	34	54	989.913	nan
780	nan	1.56482	-nan	0.0406675	573.706	6033.02	381.209	216.937	114.79	3.73489e+06	28	54	974.636	nan
781	nan	1.47021	-nan	0.0407041	571.631	5811.41	354.615	199.192	115	3.74254e+06	36	54	972.468	nan
782	nan	1.40132	-nan	0.0407949	576.423	5674.39	333.733	184.18	112.27	3.7472e+06	25	53	982.084	nan
783	nan	1.35523	-nan	0.0402522	587.334	5618.77	318.022	172.112	112.51	3.75391e+06	36	53	1002.21	nan
784	nan	1.32947	-nan	0.0397564	603.585	5627.84	305.696	162.677	112.75	3.76143e+06	36	53	1031.5	nan
785	nan	1.32195	-nan	0.0394564	624.293	5695.38	296.926	155.359	112.94	3.76901e+06	26	53	1068.43	nan
786	nan	1.33082	-nan	0.0399215	648.409	5814.32	292.232	149.792	113.07	3.77658e+06	17	54	1111.18	nan
787	nan	1.35436	-nan	0.0399956	674.779	5974.85	292.363	146.044	113.2	3.7835e+06	23	54	1157.56	nan
788	nan	1.39079	-nan	0.0399711	701.907	6167.45	295.671	144.526	113.34	3.78983e+06	22	54	1204.98	nan
789	nan	1.43812	-nan	0.0402207	728.142	6379.75	301.445	145.184	113.56	3.7957e+06	29	54	1250.55	nan
790	nan	1.49401	-nan	0.0397991	751.701	6597.96	309.364	147.231	113.77	3.8014e+06	25	54	1291.11	nan
791	nan	1.55564	-nan	0.0389997	770.765	6807.29	317.161	150.505	113.99	3.80726e+06	32	54	1323.54	nan
792	nan	1.61968	-nan	0.0383084	783.666	6992.35	323.69	154.498	114.32	3.81259e+06	41	53	1344.97	nan
793	nan	1.68228	-nan	0.0380122	789.031	7138.36	329.207	158.169	114.59	3.81802e+06	33	53	1353.1	nan
794	nan	1.73927	-nan	0.0378427	785.955	7232.21	334.299	161.203	114.85	3.82387e+06	32	54	1346.49	nan
795	nan	1.78636	-nan	0.0380322	774.12	7264.06	338.745	163.865	115.09	3.83016e+06	31	54	1324.72	nan
796	nan	1.81955	-nan	0.0376142	753.839	7226.98	342.967	166.278	115.31	3.83346e+06	29	53	1288.45	nan
797	nan	1.83547	-nan	0.0379445	726.032	7119.12	346.613	168.383	115.56	3.83946e+06	36	53	1239.4	nan
798	nan	1.83182	-nan	0.0384259	692.113	6944.05	345.082	170.557	115.84	3.84576e+06	36	53	1180.08	nan
799	nan	1.80763	-nan	0.0384601	653.829	6709.02	342.172	171.52	115.86	3.85073e+06	23	52	1113.54	nan
800	nan	1.76343	-nan	0.0385691	613.059	6424.44	337.222	170.42	116.12	3.85633e+06	41	52	1043.04	nan
801	nan	1.70117	-nan	0.0384955	571.639	6103.93	328.239	168.742	116.35	3.86177e+06	35	53	971.704	nan
802	nan	1.62401	-nan	0.0387921	531.228	5761.52	316.76	165.647	116.61	3.86669e+06	42	54	902.346	nan
803	nan	1.53596	-nan	0.0390924	493.203	5411.16	304.082	160.708	116.78	3.87193e+06	30	54	837.284	nan
804	nan	1.44137	-nan	0.0389176	458.633	5065.7	290.317	154.786	116.92	3.87708e+06	24	54	778.301	nan
805	nan	1.34459	-nan	0.0391404	428.287	4736.56	275.25	148.346	117.12	3.88207e+06	29	54	726.671	nan
806	nan	1.24957	-nan	0.0393312	402.68	4432.99	260.213	141.284	117.27	3.88705e+06	16	54	683.241	nan
807	nan	1.15964	-nan	0.0381621	382.141	4162.27	245.631	133.783	117.18	3.83373e+06	23	53	648.55	nan
808	nan	1.0774	-nan	0.0382226	366.88	3930.14	231.487	126.396	117.25	3.83798e+06	12	53	622.95	nan
809	nan	1.00476	-nan	0.0381745	357.069	3740.56	216.64	119.303	117.44	3.842e+06	28	53	606.736	nan
810	nan	0.942985	-nan	0.0378785	352.903	3596.95	203.63	112.13	117.63	3.84584e+06	20	53	600.257	nan
811	nan	0.892906	-nan	0.0376425	354.66	3502.37	192.485	105.009	117.7	3.84949e+06	13	53	604.023	nan
812	nan	0.855046	-nan	0.03658	362.76	3460.2	183.46	98.8765	115.04	3.7833e+06	21	53	618.796	nan
813	nan	0.829804	-nan	0.0360669	377.803	3477.82	176.595	93.8062	115.14	3.78727e+06	12	53	645.671	nan
814	nan	0.817617	-nan	0.0358475	400.62	3553.92	170.668	89.7359	115.23	3.79069e+06	15	53	686.159	nan
815	nan	0.819101	-nan	0.035959	432.289	3696.4	167.819	86.3738	115.35	3.79398e+06	16	53	742.245	nan
816	nan	0.835179	-nan	0.03544	474.18	3914.72	168.435	83.8481	115.47	3.79739e+06	15	53	816.435	nan
817	nan	0.867198	-nan	0.0352038	528.05	4219.72	171.825	83.019	115.61	3.80111e+06	15	53	911.769	nan
818	nan	0.917032	-nan	0.035127	595.818	4624.56	178.693	83.7728	115.71	3.8044e+06	11	53	1031.77	nan
819	nan	0.987176	-nan	0.0349086	679.654	5144.63	189.585	85.9773	115.91	3.80732e+06	22	53	1180.29	nan
820	nan	1.08081	-nan	0.0343284	781.792	5797.19	204.514	90.0126	116.12	3.81002e+06	22	53	1361.25	nan
821	nan	1.20184	-nan	0.0336959	904.284	6600.48	223.269	96.0664	116.31	3.81274e+06	23	53	1578.18	nan
822	nan	1.35484	-nan	0.0332608	1048.66	7571.88	246.423	104.068	116.47	3.81575e+06	24	53	1833.52	nan
823	nan	1.54493	-nan	0.0332499	1215.45	8725.62	275.304	114.016	116.82	3.81854e+06	40	53	2127.83	nan
824	nan	1.77741	-nan	0.0336698	1403.64	10069.3	311.925	126.318	117.12	3.8213e+06	41	53	2458.78	nan
825	nan	2.05728	-nan	0.0337357	1610.1	11600.1	357.766	141.76	117.49	3.82414e+06	45	54	2820.2	nan
826	nan	2.38838	-nan	0.0337983	1829.13	13300.2	411.556	161.375	117.82	3.82788e+06	43	54	3201.38	nan
827	nan	2.77233	-nan	0.0335219	2052.27	15133.2	472.821	185.39	118.15	3.83114e+06	54	53	3586.89	nan
828	nan	3.20725	-nan	0.0345338	2268.56	17042.1	541.223	213.261	118.58	3.83426e+06	74	53	3957.2	nan
829	nan	3.68641	-nan	0.0347318	2465.31	18950.4	619.947	244.607	118.9	3.83812e+06	71	53	4290.15	nan
830	nan	4.19712	-nan	0.0348158	2629.38	20765.4	702.437	280.21	119.23	3.84368e+06	78	53	4563.35	nan
831	nan	4.72026	-nan	0.0358908	2748.88	22386.2	786.541	320.055	119.57	3.85137e+06	97	53	4757.02	nan
832	nan	5.23073	-nan	0.0372384	2814.82	23714.4	876.697	361.015	119.99	3.85912e+06	125	53	4856.82	nan
833	nan	5.69917	-nan	0.0389952	2822.51	24666.5	970.643	403.534	120.38	3.86628e+06	109	53	4855.99	nan
834	nan	6.09483	-nan	0.0396651	2772.29	25183.8	1063.26	448.879	120.67	3.87368e+06	120	53	4756.35	nan
835	nan	6.38941	-nan	0.0399616	2669.34	25239.8	1138.52	495.72	120.93	3.88281e+06	122	53	4567.88	nan
836	nan	6.56097	-nan	0.0385873	2522.84	24842.4	1190.44	539.291	121.17	3.88553e+06	137	53	4307.01	nan
837	nan	6.59726	-nan	0.0390221	2344.49	24035.4	1215.96	572.889	121.46	3.89264e+06	135	52	3994.08	nan
838	nan	6.49753	-nan	0.0400097	2146.82	22884.1	1209.1	594.724	121.67	3.9009e+06	142	53	3650.59	nan
839	nan	6.27253	-nan	0.040761	1941.77	21471.9	1191.41	601.519	121.89	3.90911e+06	135	53	3296.66	nan
840	nan	5.94255	-nan	0.04097	1739.48	19888.3	1161.2	595.844	122.02	3.91729e+06	126	52	2949.3	nan
841	nan	5.53425	-nan	0.0413822	1547.8	18219.5	1117.95	585.108	119.09	3.92198e+06	123	52	2621.44	nan
842	nan	5.07678	-nan	0.0415015	1372.04	16559.8	1057.95	568.929	119.28	3.9302e+06	69	52	2321.76	nan
843	nan	4.59828	-nan	0.0412221	1215.26	14939	987.239	544.726	119.47	3.9381e+06	77	52	2055.14	nan
844	nan	4.12316	-nan	0.0411698	1078.63	13411.2	909.891	512.549	119.69	3.945e+06	72	53	1823.31	nan
845	nan	3.67048	-nan	0.0411815	961.963	12012.8	831.601	476.14	119.97	3.9519e+06	63	53	1625.78	nan
846	nan	3.25351	-nan	0.040897	864.267	10762.1	755.335	437.504	120.22	3.95901e+06	73	54	1460.61	nan
847	nan	2.88009	-nan	0.0407653	783.931	9665.23	682.293	398.997	120.4	3.96576e+06	63	54	1325.03	nan
848	nan	2.55359	-nan	0.0410787	719.197	8721.53	615.109	361.667	120.54	3.97231e+06	53	54	1216.03	nan
849	nan	2.27399	-nan	0.0410616	668.317	7924.78	555.687	326.333	120.73	3.97856e+06	42	54	1130.6	nan
850	nan	2.03906	-nan	0.0409846	629.672	7265.2	503.02	294.322	120.92	3.98466e+06	42	54	1066	nan
851	nan	1.84527	-nan	0.0410342	601.83	6732.2	457.078	266.044	121.06	3.99068e+06	36	54	1019.79	nan
852	nan	1.68857	-nan	0.0408751	583.567	6314.26	417.978	241.069	121.18	3.99736e+06	23	54	989.913	nan
853	nan	1.56482	-nan	0.0406194	573.847	6000.27	384.931	219.465	121.37	4.00381e+06	37	54	974.636	nan
854	nan	1.47021	-nan	0.0405854	571.781	5780.04	357.595	201.131	121.54	4.00955e+06	26	54	972.468	nan
855	nan	1.40132	-nan	0.0404086	576.585	5644.19	336.028	185.704	121.73	4.01486e+06	29	54	982.084	nan
856	nan	1.35523	-nan	0.0397201	587.511	5584.16	319.409	173.13	121.83	4.0203e+06	27	53	1002.21	nan
857	nan	1.32947	-nan	0.0391018	603.781	5591.81	306.751	163.301	122.04	4.02613e+06	27	53	1031.5	nan
858	nan	1.32195	-nan	0.0387175	624.522	5659.22	296.964	155.783	122.29	4.03209e+06	35	53	1068.43	nan
859	nan	1.33082	-nan	0.0386562	648.705	5777.92	291.14	149.979	122.42	4.03749e+06	26	53	1111.18	nan
860	nan	1.35436	-nan	0.0385799	675.097	5938.63	289.425	145.737	122.59	4.04274e+06	31	53	1157.56	nan
861	nan	1.39079	-nan	0.0382938	702.244	6130.78	290.986	143.536	122.78	4.04869e+06	33	54	1204.98	nan
862	nan	1.43812	-nan	0.0380455	728.494	6342.25	294.748	143.267	122.9	4.05496e+06	22	54	1250.55	nan
863	nan	1.49401	-nan	0.0383646	752.058	6559.49	300.507	144.429	123.23	4.06122e+06	49	54	1291.11	nan
864	nan	1.55564	-nan	0.0383623	771.127	6767.77	308.687	146.589	123.43	4.06651e+06	33	54	1323.54	nan
865	nan	1.61968	-nan	0.038208	784.025	6951.94	317.573	149.861	123.65	4.07166e+06	38	54	1344.97	nan
866	nan	1.68228	-nan	0.0379352	789.382	7097.19	325.975	154.094	123.94	4.07796e+06	37	54	1353.1	nan
867	nan	1.73927	-nan	0.0375549	786.292	7190.5	332.966	158.457	124.15	4.08384e+06	29	54	1346.49	nan
868	nan	1.78636	-nan	0.0375846	774.435	7221.71	338.168	162.422	123.42	4.08232e+06	51	53	1324.72	nan
869	nan	1.81955	-nan	0.0379919	754.131	7187.26	342.703	165.624	123.58	4.08799e+06	27	53	1288.45	nan
870	nan	1.83547	-nan	0.038264	726.299	7081.03	345.242	168.097	121.94	4.09401e+06	31	53	1239.4	nan
871	nan	1.83182	-nan	0.0387121	692.35	6911.53	345.617	170.139	119.11	4.09736e+06	48	52	1180.08	nan
872	nan	1.80763	-nan	0.038942	654.025	6686.51	343.948	171.254	119.34	4.10275e+06	40	52	1113.54	nan
873	nan	1.76343	-nan	0.0388505	613.224	6405.8	339.016	171.054	119.57	4.1075e+06	35	52	1043.04	nan
874	nan	1.70117	-nan	0.0384962	571.753	6086.55	330.399	169.571	119.82	4.1131e+06	39	52	971.704	nan
875	nan	1.62401	-nan	0.0385185	531.298	5745.14	318.474	166.513	120.13	4.11884e+06	48	53	902.346	nan
876	nan	1.53596	-nan	0.039123	493.266	5395.53	305.05	161.646	120.33	4.12442e+06	38	54	837.284	nan
877	nan	1.44137	-nan	0.0397847	458.69	5051.08	291.629	155.406	120.44	4.13048e+06	40	54	778.301	nan
878	nan	1.34459	-nan	0.0401328	428.34	4722.91	278.216	148.729	120.56	4.13527e+06	24	54	726.671	nan
879	nan	1.24957	-nan	0.0405597	402.731	4420.24	264.49	142.105	120.72	4.1405e+06	27	54	683.241	nan
880	nan	1.15964	-nan	0.0406934	382.188	4150.18	250.922	135.401	120.87	4.14587e+06	21	53	648.55	nan
881	nan	1.0774	-nan	0.0409764	366.927	3918.55	237.633	128.621	121	4.1509e+06	18	53	622.95	nan
882	nan	1.00476	-nan	0.0407861	357.117	3729.52	225.236	121.932	121.16	4.1556e+06	25	53	606.736	nan
883	nan	0.942985	-nan	0.0402958	352.953	3586.4	213.53	115.492	121.33	4.16036e+06	20	53	600.257	nan
884	nan	0.892906	-nan	0.040023	354.715	3492.24	202.811	109.474	121.44	4.16548e+06	13	54	604.023	nan
885	nan	0.855046	-nan	0.0399778	362.819	3450.1	193.956	103.81	121.53	4.17012e+06	13	54	618.796	nan
886	nan	0.829804	-nan	0.0398504	377.87	3463.83	187.539	98.7664	121.64	4.17466e+06	16	53	645.671	nan
887	nan	0.817617	-nan	0.0395905	400.698	3538.23	183.625	94.7587	121.84	4.1789e+06	24	53	686.159	nan
888	nan	0.819101	-nan	0.0393008	432.398	3680.04	182.219	91.9884	121.94	4.183e+06	17	53	742.245	nan
889	nan	0.835179	-nan	0.0389403	474.358	3897.64	183.582	90.4523	122.07	4.18679e+06	16	53	816.435	nan
890	nan	0.867198	-nan	0.0385162	528.266	4201.65	187.94	90.1905	122.24	4.19064e+06	18	53	911.769	nan
891	nan	0.917032	-nan	0.0380194	596.082	4605.16	195.578	91.3355	122.35	4.1945e+06	13	53	1031.77	nan
892	nan	0.987176	-nan	0.0381965	679.979	5123.4	207.101	94.0034	122.61	4.19838e+06	28	53	1180.29	nan
893	nan	1.08081	-nan	0.038199	782.19	5773.6	224.099	98.3418	122.81	4.20245e+06	22	53	1361.25	nan
894	nan	1.20184	-nan	0.0381759	904.771	6573.88	246.781	104.877	123.12	4.20674e+06	35	53	1578.18	nan
895	nan	1.35484	-nan	0.0382295	1049.25	7541.42	275.754	114.179	123.25	4.21085e+06	16	53	1833.52	nan
896	nan	1.54493	-nan	0.038398	1216.16	8690.67	312	126.367	123.48	4.21486e+06	27	53	2127.83	nan
897	nan	1.77741	-nan	0.038643	1404.48	10029.2	356.63	141.812	123.74	4.21952e+06	32	53	2458.78	nan
898	nan	2.05728	-nan	0.0386643	1611.07	11553.9	410.299	161.033	123.94	4.22377e+06	32	53	2820.2	nan
899	nan	2.38838	-nan	0.0394514	1830.22	13247.4	473.205	184.562	124.3	4.22819e+06	49	53	3201.38	nan
900	nan	2.77233	-nan	0.0395083	2053.46	15072.8	547.749	212.475	121.25	4.22599e+06	60	52	3586.89	nan
901	nan	3.20725	-nan	0.0392257	2269.83	16993	629.313	245.833	121.62	4.23015e+06	68	52	3957.2	nan
902	nan	3.68641	-nan	0.039046	2466.61	18902.1	713.815	284.125	122.12	4.23471e+06	89	52	4290.15	nan
903	nan	4.19712	-nan	0.0390301	2630.57	20712.1	800.82	324.782	122.58	4.23936e+06	74	51	4563.35	nan
904	nan	4.72026	-nan	0.0397691	2749.71	22326.7	889.874	366.955	122.99	4.24477e+06	88	53	4757.02	nan
905	nan	5.23073	-nan	0.0404402	2815.61	23651.1	982.35	410.271	123.26	4.25082e+06	94	54	4856.82	nan
906	nan	5.69917	-nan	0.041699	2823.24	24599.5	1073.42	454.961	123.65	4.25695e+06	96	54	4855.99	nan
907	nan	6.09483	-nan	0.0428149	2772.93	25113.7	1161.68	500.56	123.98	4.26324e+06	117	54	4756.35	nan
908	nan	6.38941	-nan	0.043957	2669.89	25167.9	1239.65	545.346	124.2	4.27086e+06	162	54	4567.88	nan
909	nan	6.56097	-nan	0.044714	2523.32	24771	1301.48	587.643	124.55	4.27891e+06	132	54	4307.01	nan
